time,acc-side,acc-up/down,acc-front/back
1566152797629,-2.45,18.43,0.5
1566152797649,-2.03,17.36,-1.46
1566152797669,-1.11,13.72,-0.61
1566152797689,0.04,10.15,-0.61
1566152797709,0.57,5.86,-2.72
1566152797729,1.88,4.79,-1.34
1566152797749,1.99,0.84,-1.03
1566152797769,2.49,-3.03,-3.76
1566152797789,2.45,-4.18,-6.74
1566152797809,2.07,-5.06,-4.56
1566152797829,1.38,-4.25,-2.8
1566152797849,0.92,-1.92,-1.03
1566152797869,2.72,1.57,-2.3
1566152797889,3.76,9.01,-2.34
1566152797909,-5.06,42.77,-2.03
1566152797929,0.54,16.71,-11.69
1566152797950,1.8,11.5,0.31
1566152797970,1.46,25.52,-1.26
1566152797991,4.25,17.09,-0.11
1566152798011,3.22,17.97,0.19
1566152798031,2.8,11.76,-0.61
1566152798051,1.65,8.85,0.11
1566152798071,0.77,6.28,-1.19
1566152798091,1.15,4.02,-0.73
1566152798111,0.42,1.84,-1.92
1566152798131,-0.5,0.27,-1.38
1566152798151,-2.68,-1.76,-4.14
1566152798171,-4.68,-3.33,-7.09
1566152798191,-3.68,-5.52,-4.91
1566152798211,-1.11,-3.83,-2.45
1566152798231,-0.69,0.15,0.57
1566152798251,-1.3,4.56,-4.83
1566152798272,6.44,13.91,2.72
1566152798293,0.5,38.21,-22.65
1566152798314,-1.99,4.18,17.01
1566152798334,-5.1,31.46,-8.55
1566152798354,-3.56,16.29,1.53
1566152798374,-2.03,19.93,-1.38
1566152798394,0.42,16.98,-1.88
1566152798414,0.73,13.22,-0.57
1566152798434,0.23,9.5,-1.76
1566152798454,1.34,7.86,-0.11
1566152798474,1,3.99,-2.41
1566152798494,1.95,0.61,-0.34
1566152798514,2.87,-2.95,-4.75
1566152798534,3.64,-4.79,-5.29
1566152798554,1.92,-5.21,-4.94
1566152798574,0.34,-4.25,-2.91
1566152798594,-0.46,-1.76,-1.76
1566152798614,0.77,0.8,-1.92
1566152798634,2.03,8.05,-4.14
1566152798654,-2.84,38.93,-12.19
1566152798674,3.99,8.01,2.3
1566152798694,4.56,24.95,-6.32
1566152798714,3.6,18.36,-0.46
1566152798734,4.1,21.42,-1.88
1566152798754,3.26,17.13,-0.8
1566152798774,2.84,14.71,0.11
1566152798794,1.95,11.11,-0.38
1566152798814,0.8,7.55,-0.34
1566152798834,-0.8,4.83,-0.61
1566152798854,-2.18,2.68,-0.65
1566152798874,-1.99,-1.19,-1.8
1566152798894,-3.03,-4.64,-6.32
1566152798914,-3.33,-6.55,-7.43
1566152798934,-1.72,-6.13,-5.82
1566152798954,0.23,-3.56,-1.95
1566152798974,-0.19,1.26,0.77
1566152798994,-2.15,9.24,-1.65
1566152799014,8.09,29.35,-8.16
1566152799035,4.52,8.12,-8.16
1566152799056,-5.52,14.6,-5.36
1566152799076,-2.41,24.87,-2.95
1566152799096,-3.26,18.89,-0.31
1566152799116,-1.65,19.81,-2.8
1566152799136,-0.57,15.4,-1.07
1566152799156,-0.61,12.95,-0.27
1566152799176,-0.42,9.81,-0.69
1566152799196,1.26,7.13,-1.65
1566152799216,0.46,4.64,-0.8
1566152799236,1.42,2.41,-0.54
1566152799256,3.83,-0.19,-2.34
1566152799276,3.83,-3.79,-6.21
1566152799296,1.42,-5.71,-5.48
1566152799316,0.34,-5.59,-5.1
1566152799336,0.23,-3.64,-1.49
1566152799356,1.15,0.65,-0.15
1566152799376,1.99,7.17,-3.83
1566152799397,-6.32,28.82,-3.07
1566152799418,2.18,18.78,-13.34
1566152799438,4.18,20.92,-4.87
1566152799458,3.99,24.03,1.49
1566152799478,3.18,21.15,-0.23
1566152799498,1.19,18.89,-0.92
1566152799518,1.49,14.56,0.34
1566152799538,0.96,10.5,-0.08
1566152799558,-0.04,7.63,-0.27
1566152799578,1.03,5.25,-0.57
1566152799598,0.27,3.49,-1.38
1566152799618,-0.5,-0.11,-1.49
1566152799638,-1.84,-4.33,-4.56
1566152799658,-3.03,-5.56,-8.16
1566152799679,-2.26,-6.09,-5.06
1566152799699,-0.34,-2.76,-1.92
1566152799719,-0.69,0.73,2.18
1566152799739,-2.95,6.25,-4.1
1566152799759,2.53,13.95,-2.34
1566152799779,0.27,28.93,-17.09
1566152799799,-0.04,13.57,7.7
1566152799819,-3.6,26.67,-3.99
1566152799839,-3.68,19.12,0.54
1566152799859,-3.33,19.89,-0.92
1566152799879,0,16.48,0.04
1566152799899,0.31,14.18,0.08
1566152799919,-0.11,10.42,0.08
1566152799939,1.19,6.74,-1.8
1566152799959,1.07,5.4,-0.84
1566152799980,0.88,1.53,-2.49
1566152800001,3.64,-3.37,-4.02
1566152800021,4.48,-5.17,-5.48
1566152800041,3.26,-5.02,-4.83
1566152800061,1.15,-2.87,-2.07
1566152800082,-0.57,-1.15,-0.27
1566152800102,-0.57,0.84,0.31
1566152800123,1.34,4.91,-3.37
1566152800144,-12.07,27.71,-0.65
1566152800164,3.87,22.84,-15.75
1566152800184,5.86,16.98,-2.72
1566152800204,3.26,25.1,-0.38
1566152800224,4.18,20.85,-0.34
1566152800244,4.18,19.93,-1.8
1566152800264,2.91,15.29,-0.31
1566152800284,1.42,12.3,-0.34
1566152800304,0.54,9.08,-0.42
1566152800324,-0.61,5.52,-1.49
1566152800344,-1.46,3.07,-1.23
1566152800364,-0.38,-0.61,-0.96
1566152800384,-2.38,-3.64,-3.41
1566152800404,-3.64,-4.71,-6.51
1566152800424,-2.53,-6.32,-6.44
1566152800444,-0.57,-5.4,-4.87
1566152800464,0.08,-1.34,-1
1566152800484,-3.03,3.56,-1.88
1566152800504,0.61,14.71,0.04
1566152800524,8.32,34.83,-18.47
1566152800544,-0.04,0.69,2.49
1566152800564,-3.14,27.55,-4.94
1566152800584,-1.88,16.48,-1.03
1566152800604,-2.95,22,-4.48
1566152800624,-1.3,18.09,-0.46
1566152800644,-1.03,15.86,-1.03
1566152800664,-0.88,13.72,-0.34
1566152800684,-0.61,9.2,-0.42
1566152800704,1.72,5.21,-1.84
1566152800724,1.19,3.83,-1.61
1566152800744,1.38,0.57,-2.49
1566152800764,3.03,-4.68,-4.75
1566152800784,2.57,-6.17,-6.32
1566152800804,1.03,-5.13,-5.1
1566152800824,0.38,-2.76,-2.91
1566152800844,0.65,-0.84,-1.61
1566152800865,2.84,2.72,-3.37
1566152800885,3.26,13.37,-1.19
1566152800905,-3.26,24.03,-12.49
1566152800926,2.22,5.9,-6.51
1566152800948,4.45,23.64,-2.95
1566152800968,3.99,19.81,-1.07
